산이름,장소유형,장소명,카테고리,주소,전화번호,산으로부터거리(m),도보시간(분),장소위도,장소경도,카카오지도URL,블로그언급수,맛집점수
가야산,음식점,산사의아침,음식점 > 한식 > 한정식,경남 합천군 가야면 치인1길 11,055-932-7328,1928,26,35.79140649497765,128.08807563054438,http://place.map.kakao.com/11892037,11,52.8
안성 칠현산,카페,이디야커피 동아방송대점,음식점 > 카페 > 커피전문점 > 이디야커피,경기 안성시 삼죽면 동아예대길 50,031-677-6151,2415,32,37.05685239450083,127.3631031620257,http://place.map.kakao.com/13062024,59,52.8
천마산(전남),카페,모모앤카롱,음식점 > 카페 > 테마카페 > 디저트카페,전남 순천시 해룡면 송산5길 4-12,061-723-1562,1651,22,34.9273643328448,127.548433962509,http://place.map.kakao.com/1832868510,11,52.8
영인산,카페,크로스웨이,음식점 > 카페,충남 아산시 음봉면 음봉로 55,010-4109-2271,516,7,36.8465590584706,127.017176772452,http://place.map.kakao.com/282302723,2,52.8
영인산,음식점,음봉생태생대구탕뽈찜,"음식점 > 한식 > 해물,생선",충남 아산시 음봉면 음봉로 279-7,041-543-5532,1904,25,36.8457565729099,127.041228306997,http://place.map.kakao.com/9328735,11,52.8
백운산(광양),카페,스스로,음식점 > 카페 > 테마카페 > 무인카페,경남 하동군 하동읍 중앙3길 3-1,,2947,39,35.0706696851488,127.746448065266,http://place.map.kakao.com/295971342,1899,52.8
문복산,음식점,소호가든,"음식점 > 한식 > 육류,고기 > 닭요리",울산 울주군 상북면 소호로 202,052-254-2332,1735,23,35.6663066083201,129.07937377584156,http://place.map.kakao.com/11131416,11,52.8
간월산,카페,차나한잔,음식점 > 카페,울산 울주군 상북면 상북로 212,052-262-0388,579,8,35.5861456229185,129.096183751824,http://place.map.kakao.com/711752582,2,52.8
간월산,음식점,춘자네식당,음식점 > 한식,울산 울주군 상북면 도동신리로 4,052-254-2064,706,9,35.5899348089527,129.091150614685,http://place.map.kakao.com/15376706,2,52.8
용봉산,카페,트리플에이커피 홍성점,음식점 > 카페,충남 홍성군 홍성읍 대학길 68,041-635-0285,2703,36,36.57626083136396,126.65957687489585,http://place.map.kakao.com/86571146,297,52.7
거제 가라산,카페,모티,음식점 > 카페,경남 거제시 동부면 거제남서로 2808-6,055-638-5511,1748,23,34.81535269233084,128.5865679492987,http://place.map.kakao.com/977718800,58,52.7
추월산,음식점,흥부베이커리,"음식점 > 간식 > 제과,베이커리",전남 담양군 창평면 의병로 131-1,061-381-3812,2011,27,35.23800665477035,127.01501158216247,http://place.map.kakao.com/15807367,57,52.6
추월산,음식점,창평손만두,음식점 > 분식,전남 담양군 창평면 창평리 217-1,061-381-8201,1946,26,35.23747405412613,127.01421608631635,http://place.map.kakao.com/9443077,57,52.6
검단산,음식점,소원생고기,"음식점 > 한식 > 육류,고기",경기 남양주시 조안면 다산로 415,031-577-5609,2363,32,37.531271220569714,127.28870900583607,http://place.map.kakao.com/22282956,57,52.6
북한산,카페,빽다방 빵연구소 북한산성점,음식점 > 카페 > 커피전문점 > 빽다방,서울 은평구 대서문길 23,02-352-1202,2708,36,37.6566369485774,126.947949015404,http://place.map.kakao.com/712956599,56,52.6
용문산,카페,용문갤러리,음식점 > 카페,경기 양평군 용문면 조계골길 87,,1189,16,37.5506270122387,127.584396006905,http://place.map.kakao.com/1443537633,285,52.6
금원산,카페,카페보름달,음식점 > 카페,경남 함양군 안의면 농월정길 5,,515,7,35.6228761887847,127.780638069966,http://place.map.kakao.com/2005469980,91,52.6
장안산,음식점,청기와집,"음식점 > 한식 > 육류,고기 > 오리",전북특별자치도 장수군 장계면 한들로 181,063-353-5292,2548,34,35.7301612730897,127.591499810464,http://place.map.kakao.com/11892346,55,52.5
가야산(서산),카페,탐앤탐스 서산휴게소 목포방향점,음식점 > 카페 > 커피전문점 > 탐앤탐스,충남 서산시 해미면 서해안고속도로 241,041-688-8814,2196,29,36.742905034943405,126.56501967556777,http://place.map.kakao.com/27545591,55,52.5
태기산,음식점,계곡쉼터 녹지원식당,음식점 > 한식,강원특별자치도 횡성군 둔내면 경강로구두미1길 111,,1496,20,37.5747670410827,128.260052108724,http://place.map.kakao.com/96695188,280,52.5
관악산,음식점,포포인 서울대학교점,음식점 > 아시아음식 > 동남아음식 > 베트남음식,서울 관악구 관악로 1,02-878-5060,2608,35,37.46638309913772,126.95371393650149,http://place.map.kakao.com/990381991,55,52.5
용봉산,음식점,응답하라맥주창고 홍성직영점,"음식점 > 술집 > 호프,요리주점",충남 홍성군 홍성읍 월산로50번길 14,041-631-9234,2353,31,36.5993839194979,126.647733741758,http://place.map.kakao.com/1657365782,55,52.5
신불산,음식점,나루터,음식점 > 한식 > 국수,울산 울주군 상북면 알프스온천로 178,052-254-3869,2274,30,35.5549556210764,129.074371441461,http://place.map.kakao.com/27535539,55,52.5
가야산(서산),카페,해쉬브라운,음식점 > 카페,충남 서산시 해미면 남문1로 32,041-688-4477,2778,37,36.7096013960054,126.546145307352,http://place.map.kakao.com/702504681,284,52.5
가야산(서산),음식점,닭장수후라이드 해미점,음식점 > 치킨,충남 서산시 해미면 남문2로 121,041-688-9977,2620,35,36.71301196662319,126.54563054138177,http://place.map.kakao.com/1132431530,276,52.4
월악산,음식점,송계가든,음식점 > 한식,충북 제천시 한수면 미륵송계로 1605,043-651-2003,2382,32,36.8834094809289,128.078407282395,http://place.map.kakao.com/12055084,274,52.4
무등산,음식점,송원산장,"음식점 > 한식 > 육류,고기 > 닭요리",광주 북구 무등로 1558,062-266-6446,2030,27,35.1434324687706,126.98970685233,http://place.map.kakao.com/9005284,54,52.4
남해 금산,카페,레브드남해,음식점 > 카페,경남 남해군 이동면 남서대로 142,0503-7151-5836,1975,26,34.7802009972606,127.946830441936,http://place.map.kakao.com/1977666978,54,52.4
청계산,음식점,페리에피스김영모,"음식점 > 간식 > 제과,베이커리",경기 성남시 수정구 달래내로 266-1,,1779,24,37.420148963604966,127.07787095337285,http://place.map.kakao.com/668321486,342,52.4
월출산,음식점,기찬민물장어,"음식점 > 한식 > 해물,생선 > 장어",전남 영암군 영암읍 천황사로 274,,2327,31,34.7790963877173,126.722665995096,http://place.map.kakao.com/12522261,1702,52.3
신불산,음식점,명성종가집,"음식점 > 한식 > 육류,고기 > 오리",울산 울주군 상북면 등억알프스로 447,052-262-3164,2278,30,35.55838026663752,129.07099269340318,http://place.map.kakao.com/9000297,53,52.3
용문산,카페,리틀포레,음식점 > 카페,경기 양평군 용문면 상원사길 58,0502-5552-3501,2861,38,37.53379474974562,127.55813740779116,http://place.map.kakao.com/1651368393,266,52.3
월악산,카페,정원,음식점 > 카페,충북 제천시 한수면 미륵송계로5길 8,,2273,30,36.88233635704854,128.07780780205536,http://place.map.kakao.com/1672019215,8528,52.3
영축산,음식점,청수골산장,"음식점 > 한식 > 육류,고기 > 오리",경남 양산시 하북면 평산마을길 50,055-383-1286,2130,28,35.4927525528565,129.070240889487,http://place.map.kakao.com/21483915,53,52.3
두륜산,음식점,동일식당,음식점 > 한식,전남 해남군 삼산면 고산로 767-3,,568,8,34.501911287751376,126.61240612483505,http://place.map.kakao.com/21298530,82,52.2
북한산,카페,북한산플레이,음식점 > 카페,경기 고양시 덕양구 북한산로368번길 89,02-388-3838,2471,33,37.65593270059437,126.95079398185463,http://place.map.kakao.com/481386331,262,52.2
월악산,음식점,또래오래,음식점 > 치킨 > 또래오래,충북 제천시 한수면 미륵송계로 1592,043-642-1070,2251,30,36.8822678519844,128.07890270587,http://place.map.kakao.com/416858434,51,52.2
명적산,음식점,방가네,음식점 > 한식,전북특별자치도 완주군 상관면 왜목로 711,063-232-8292,2349,31,35.765585559081124,127.20313320022464,http://place.map.kakao.com/896145011,261,52.2
도봉산,음식점,홍두깨손칼국수,음식점 > 한식 > 국수 > 칼국수,서울 도봉구 도봉산4가길 14,02-3494-0282,2102,28,37.6882124250263,127.041318311718,http://place.map.kakao.com/21305968,51,52.2
계룡산,음식점,평화식당,음식점 > 한식,충남 공주시 계룡면 보목고개로 309,,2777,37,36.3404726216976,127.174713164949,http://place.map.kakao.com/9508225,8223,52.2
덕태산,음식점,신흥반점,음식점 > 중식,전북특별자치도 장수군 장계면 장무로 273,063-353-0160,2889,39,35.73542878173043,127.58363519001657,http://place.map.kakao.com/406345618,265,52.2
주왕산,음식점,큰맘할매순대국 청송주왕산점,음식점 > 한식 > 순대 > 큰맘할매순대국,경북 청송군 주왕산면 주왕산로 642,054-873-9800,2408,32,36.3809612694098,129.125519654268,http://place.map.kakao.com/2130832589,52,52.2
가야산(서산),음식점,원두막가든,음식점 > 한식,충남 서산시 해미면 해운로 97-4,041-688-7923,1942,26,36.71961068819086,126.55057274836254,http://place.map.kakao.com/1524730545,52,52.2
주왕산,카페,바램,음식점 > 카페,경북 청송군 주왕산면 공원길 206,,143,2,36.39476797518004,129.1457205303158,http://place.map.kakao.com/1767530459,25,52.1
월출산,음식점,피크니처,음식점 > 양식,전남 영암군 영암읍 천황사로 280-25,061-473-2332,2159,29,34.7766285276843,126.722361807305,http://place.map.kakao.com/1945313721,257,52.1
가평 강씨봉,음식점,청대문,음식점 > 한식,경기 가평군 가평읍 가화로 490,031-582-5157,2350,31,37.857437515397336,127.51404894120454,http://place.map.kakao.com/1880055178,256,52.1
천마산,카페,레브델,음식점 > 카페,경기 남양주시 조안면 북한강로855번길 65-4,031-576-6658,1690,23,37.5976288086054,127.3333698798,http://place.map.kakao.com/21538312,50,52.1
천마산(전남),음식점,해룡국밥,음식점 > 한식 > 국밥,전남 순천시 해룡면 해룡로 1132,,941,13,34.9144926839706,127.537116668032,http://place.map.kakao.com/442908434,15,52.0
영인산,카페,커피183,음식점 > 카페 > 커피전문점,충남 아산시 음봉면 음봉로 279-9,0507-1441-8224,1937,26,36.8456339007167,127.041578051062,http://place.map.kakao.com/475339166,9,52.0
거망산,음식점,묏골관광농원식당,음식점 > 한식,경남 함양군 병곡면 묘동길 105,055-963-9033,2560,34,35.566627973985,127.714071772906,http://place.map.kakao.com/1647816915,252,52.0
남해 금산,음식점,곡포식당,음식점 > 한식 > 해장국,경남 남해군 이동면 남서대로197번길 2,055-862-0884,2460,33,34.779238942540374,127.94070607765457,http://place.map.kakao.com/8702825,49,52.0
관악산,카페,카페모나,음식점 > 카페 > 커피전문점,경기 과천시 관문로 130,010-3442-3503,2860,38,37.4330066942014,126.993038762895,http://place.map.kakao.com/1799025932,49,52.0
검단산,카페,토끼섬카페,음식점 > 카페,경기 남양주시 조안면 다산로526번길 9,031-576-5588,2157,29,37.5216130922634,127.292864082766,http://place.map.kakao.com/54261588,253,52.0
거제 가라산,카페,메이크,음식점 > 카페,경남 거제시 거제면 기성로 12,010-6682-6755,2080,28,34.8487377810747,128.588669238298,http://place.map.kakao.com/27540771,250,52.0
도봉산,음식점,향촌,"음식점 > 한식 > 해물,생선 > 추어",서울 도봉구 도봉로191길 73-12,02-954-2944,2118,28,37.690094480598674,127.04156198408857,http://place.map.kakao.com/12450131,48,51.9
가야산(서산),카페,카페모니카,음식점 > 카페 > 커피전문점,충남 서산시 해미면 남문1로 48,041-688-0128,2616,35,36.71096605615487,126.54718822527947,http://place.map.kakao.com/24537916,48,51.9
가야산,음식점,국일식당,음식점 > 한식,경남 합천군 가야면 치인1길 19-2,055-932-7386,2000,27,35.7915277657876,128.087023145458,http://place.map.kakao.com/271482088,47,51.8
도봉산,카페,나크타,음식점 > 카페,경기 의정부시 망월로28번길 137,031-872-0495,2675,36,37.70711950698371,127.03834175539738,http://place.map.kakao.com/1909304241,239,51.8
화성 화산,카페,티타임24,음식점 > 카페,경기 화성시 효행구 정남면 만년로 539-3,,1856,25,37.1693597212012,126.983158035003,http://place.map.kakao.com/1779721191,1523,51.8
진악산,카페,시루아트,음식점 > 카페,충남 금산군 금산읍 군청1길 19,,528,7,36.109062598179605,127.4888520614972,http://place.map.kakao.com/24532453,75,51.8
모악산,음식점,느티나무,음식점 > 한식,전북특별자치도 김제시 금산면 모악로 460-5,063-548-4036,2862,38,35.71809431698069,127.0412881954182,http://place.map.kakao.com/11371168,237,51.8
운길산,음식점,제주종갓집,"음식점 > 한식 > 육류,고기",경기 남양주시 와부읍 고래산로99번길 6,031-576-1616,2385,32,37.6096784911345,127.280021628789,http://place.map.kakao.com/17970685,47,51.8
천관산,음식점,하이브,음식점 > 양식,전남 장흥군 부산면 안곡2길 80-12,010-2608-0889,2285,30,34.7017692627283,126.883350646673,http://place.map.kakao.com/908540266,239,51.8
고헌산,카페,유진목장 본치즈어리,음식점 > 카페,울산 울주군 두서면 구량차리로 320,052-264-4345,2038,27,35.6352757595711,129.125246551061,http://place.map.kakao.com/505523061,234,51.7
금원산,음식점,소담,음식점 > 한식,경남 함양군 안의면 종로길 13-1,,2773,37,35.6277576182065,127.813304509187,http://place.map.kakao.com/393062104,7404,51.7
삼봉산,음식점,부산식당,음식점 > 한식,경남 함양군 유림면 천왕봉로 2814,,1490,20,35.4633711432054,127.787313166438,http://place.map.kakao.com/15486489,235,51.7
간월산,카페,파인포레스트,음식점 > 카페 > 테마카페 > 디저트카페,울산 울주군 상북면 송락골2길 20-1,010-3842-3725,2863,38,35.60856843050854,129.0983124364264,http://place.map.kakao.com/511380297,46,51.7
백운산(광양),음식점,큰새미,"음식점 > 한식 > 육류,고기 > 족발,보쌈",경남 하동군 하동읍 향교2길 1-6,055-884-6541,2856,38,35.07015699736302,127.74436583834954,http://place.map.kakao.com/1281475310,46,51.7
북한산,음식점,산,음식점 > 한식,서울 강북구 삼양로173길 207,,2160,29,37.6581737570844,127.002982822122,http://place.map.kakao.com/12070931,7322,51.6
월출산,음식점,해피맘돈까스,"음식점 > 일식 > 돈까스,우동",전남 영암군 영암읍 기찬랜드로 41,061-472-7778,2985,40,34.7903267702735,126.68511564086,http://place.map.kakao.com/1211362674,45,51.6
안성 칠현산,음식점,BHC치킨 동아방송대점,음식점 > 치킨 > BHC치킨,경기 안성시 삼죽면 동아예대길 46,031-676-9555,2352,31,37.0561722557594,127.363048204814,http://place.map.kakao.com/814140757,45,51.6
모악산,음식점,한일회관,음식점 > 한식,전북특별자치도 김제시 금산면 모악로 460-7,063-548-4016,2860,38,35.71794742643348,127.04123728173457,http://place.map.kakao.com/21459986,228,51.6
기백산,음식점,하윤식당 버섯전골,"음식점 > 한식 > 찌개,전골",경남 함양군 안의면 강변로 291-1,,2460,33,35.6282051546917,127.813629172962,http://place.map.kakao.com/714129040,1450,51.6
장안산,음식점,자연정가 양평해장국 장수점,음식점 > 한식 > 해장국 > 자연정가 양평해장국,전북특별자치도 장수군 장계면 의암로 1065,063-351-7397,2605,35,35.71802850159448,127.61804432383988,http://place.map.kakao.com/1246016710,45,51.6
봉화 문수산,음식점,한끼뚝딱,음식점 > 한식,경북 봉화군 춘양면 의양로4길 10,,1171,16,36.93669877544623,128.91490843982632,http://place.map.kakao.com/177689989,228,51.6
진악산,음식점,다복식당,음식점 > 한식,충남 금산군 금산읍 후곤천길 92,,388,5,36.1045713967849,127.492052601283,http://place.map.kakao.com/10258080,22,51.6
가지산,카페,소야정커피&전통차,음식점 > 카페 > 테마카페 > 사주카페,울산 울주군 상북면 소야정길 101,052-263-1472,2354,31,35.6148449356597,129.063294132481,http://place.map.kakao.com/1757946172,44,51.5
황석산,음식점,삼대문식당,음식점 > 뷔페 > 한식뷔페,경남 함양군 지곡면 지곡창촌길 9,055-963-9983,1801,24,35.565354370263414,127.77550545280539,http://place.map.kakao.com/1167492010,8,51.5
덕유산,음식점,설천봉레스토랑,음식점 > 양식,전북특별자치도 무주군 설천면 만선로 185,063-320-7717,2914,39,35.865383846279165,127.74361800191046,http://place.map.kakao.com/21351181,221,51.5
금원산,음식점,민수네떴다순곰탕,음식점 > 한식 > 곰탕,경남 함양군 서하면 호성길 3,055-962-5516,1894,25,35.617317272466,127.763609422005,http://place.map.kakao.com/512148507,8,51.5
관악산,음식점,롯데리아 서울대점,음식점 > 패스트푸드 > 롯데리아,서울 관악구 관악로 1,02-877-8444,1926,26,37.4591087446299,126.952487545444,http://place.map.kakao.com/26477415,8,51.5
용문산,카페,오쓰커피,음식점 > 카페 > 커피전문점,경기 양평군 용문면 용문산로 648,,815,11,37.5458765409231,127.582850532035,http://place.map.kakao.com/179072020,13,51.5
봉화 문수산,음식점,목연,음식점 > 한식,경북 봉화군 춘양면 의양로 43,054-672-2989,1163,16,36.93766022479558,128.91389432418225,http://place.map.kakao.com/21693805,6,51.5
검단산,카페,봉주르팔당,음식점 > 카페,경기 남양주시 조안면 다산로 478-56,,1906,25,37.5253609542852,127.287853609098,http://place.map.kakao.com/1624464057,1409,51.5
관악산,카페,파스쿠찌 서울대관정도서관점,음식점 > 카페 > 커피전문점 > 파스쿠찌,서울 관악구 관악로 1,02-875-8497,1922,26,37.45882472895686,126.95200057628041,http://place.map.kakao.com/2058698940,8,51.5
청계산,카페,카페하루,음식점 > 카페,경기 성남시 수정구 옛골로 14,070-7797-6852,1714,23,37.4279729092619,127.070012178014,http://place.map.kakao.com/1888966647,44,51.5
가평 강씨봉,음식점,벌떡장어,"음식점 > 한식 > 해물,생선 > 장어",경기 가평군 가평읍 각담말길 50-66,031-581-5335,2277,30,37.8593443995559,127.516407616708,http://place.map.kakao.com/12568780,43,51.4
조계산,음식점,웅기장어,"음식점 > 한식 > 해물,생선 > 장어",전남 화순군 동면 응봉로 540,061-371-9808,2331,31,35.025020238375845,127.01824230965822,http://place.map.kakao.com/12343167,43,51.4
추월산,카페,카페하누,음식점 > 카페,전남 담양군 창평면 의병로 61,,1441,19,35.232827960406055,127.0107504396056,http://place.map.kakao.com/1107819148,219,51.4
가평 강씨봉,음식점,믿음,음식점 > 한식,경기 가평군 가평읍 보납로 79,,2437,32,37.8317371249445,127.519400276279,http://place.map.kakao.com/21248565,6854,51.4
가평 강씨봉,카페,진루아쏘,음식점 > 카페,경기 가평군 가평읍 보납로 22,031-582-7500,2916,39,37.830813213863365,127.51292249176406,http://place.map.kakao.com/1448619093,220,51.4
신불산,음식점,원산냉면,음식점 > 한식 > 냉면,울산 울주군 상북면 알프스온천5길 5,052-254-8893,2406,32,35.5550462753093,129.076014588822,http://place.map.kakao.com/1862573620,43,51.4
백운산(광양),음식점,고향식당,음식점 > 한식,경남 하동군 하동읍 중앙로 67-1,055-883-0216,2812,37,35.0714115228964,127.745270758278,http://place.map.kakao.com/1420463264,212,51.3
용봉산,음식점,못난이해장국 부영직영점,음식점 > 한식 > 해장국,충남 홍성군 홍성읍 월산1길 45,041-631-0574,2346,31,36.5991071750104,126.64800657721,http://place.map.kakao.com/1098155072,42,51.3
관악산,카페,핀다커피,음식점 > 카페 > 커피전문점,경기 과천시 관문로 92,070-8875-2500,2833,38,37.4297943766334,126.990295810658,http://place.map.kakao.com/1730127938,42,51.3
가야산(서산),음식점,치킨더홈 서산해미점,음식점 > 치킨,충남 서산시 해미면 일락골길 15-1,041-688-1288,2390,32,36.7109005461034,126.550350392441,http://place.map.kakao.com/199419973,212,51.3
도봉산,카페,만스에스테이트 도봉점,음식점 > 카페 > 테마카페 > 디저트카페,서울 도봉구 도봉로180길 20,0507-1445-9880,2701,36,37.6828467826796,127.046987067642,http://place.map.kakao.com/1512957882,42,51.3
수락산,음식점,스몰한잔,"음식점 > 술집 > 호프,요리주점",서울 노원구 상계로37길 3,,1685,22,37.670754007024,127.078786085673,http://place.map.kakao.com/1228001087,263,51.2
가야산,음식점,백운식당,음식점 > 한식,경남 합천군 가야면 치인1길 13-23,055-932-7393,2019,27,35.7905493741138,128.08758499862103,http://place.map.kakao.com/24120789,208,51.2
청계산,음식점,4L레저타운청계산,음식점 > 한식,경기 성남시 수정구 옛골로 18,1544-7212,1659,22,37.4275802956146,127.069623159221,http://place.map.kakao.com/1204679536,41,51.2
추월산,음식점,무진장해물탕,"음식점 > 한식 > 해물,생선 > 매운탕,해물탕",전남 담양군 창평면 창평리 76-3,061-383-0319,2179,29,35.23905802904869,127.01860322018238,http://place.map.kakao.com/18299757,41,51.2
영축산,카페,메가MGC커피 양산통도사점,음식점 > 카페 > 커피전문점 > 메가MGC커피,경남 양산시 하북면 통도사로 58,055-383-3018,2888,39,35.49375446612088,129.08406183257406,http://place.map.kakao.com/180349757,41,51.2
천등산,음식점,덕봉정,음식점 > 한식,전북특별자치도 진안군 부귀면 옛웅치길 130-3,,263,4,35.8103304572606,127.306521749066,http://place.map.kakao.com/1791966066,20,51.2
청계산,카페,올드반야드,음식점 > 카페,경기 의왕시 청계로 366,010-5187-7071,2988,40,37.40551369763814,127.02719774711076,http://place.map.kakao.com/2028110217,208,51.2
북한산,음식점,우이천닭칼국수 우이점,음식점 > 한식 > 국수 > 칼국수,서울 강북구 삼양로173길 102,02-900-9365,2542,34,37.6613035800543,127.007287367564,http://place.map.kakao.com/817956528,40,51.1
추월산,카페,머무른하우스,음식점 > 카페,전남 담양군 창평면 창평로 577-1,061-382-7638,2118,28,35.2390461414381,127.01300236694,http://place.map.kakao.com/207135923,201,51.1
도봉산,카페,유영정원 2호,음식점 > 카페,서울 도봉구 도봉로191길 80,0507-1385-5248,2066,28,37.6904298545966,127.040960133179,http://place.map.kakao.com/1576872139,204,51.1
거제 가라산,음식점,논두렁밭두렁,음식점 > 한식,경남 거제시 거제면 거제남서로 3399,010-8965-6942,1887,25,34.8472665332234,128.592279315486,http://place.map.kakao.com/104614129,40,51.1
천마산(전남),카페,더끌림,음식점 > 카페,전남 순천시 팔마2길 107,061-726-8700,2007,27,34.933033411593165,127.51457316274872,http://place.map.kakao.com/955647185,205,51.1
천마산,카페,서종타워카페에어,음식점 > 카페,경기 양평군 서종면 북한강로789번길 6,,1081,14,37.6080110957979,127.348573919182,http://place.map.kakao.com/26222215,202,51.1
영축산,카페,카페수피아,음식점 > 카페,울산 울주군 삼남읍 장제1길 13-11,0507-1303-6782,2838,38,35.52675070552413,129.08159705517053,http://place.map.kakao.com/1390494649,201,51.1
간월산,음식점,솔버덩한식,음식점 > 한식,울산 울주군 상북면 산전후리로 3,052-254-5706,824,11,35.59088037215039,129.08889934583928,http://place.map.kakao.com/1078312504,1,51.0
간월산,카페,한나스카페,음식점 > 카페,울산 울주군 상북면 상북로 273,052-262-8333,661,9,35.5895422550443,129.090924181783,http://place.map.kakao.com/286534199,1,51.0
황매산,음식점,실크로드레스토랑,"음식점 > 일식 > 돈까스,우동",경남 합천군 대병면 서부로 2213,055-931-0809,2097,28,35.5332770955812,128.000914438991,http://place.map.kakao.com/9179463,39,51.0
안성 칠현산,음식점,네네치킨 동아방송대점,음식점 > 치킨 > 네네치킨,경기 안성시 삼죽면 동아예대길 61-3,031-674-4447,2492,33,37.0577428851074,127.363026456244,http://place.map.kakao.com/13016642,39,51.0
검단산,카페,트루어스,음식점 > 카페,경기 남양주시 조안면 다산로 604,031-566-1376,2793,37,37.5261038029907,127.298569744589,http://place.map.kakao.com/15102238,198,51.0
가지산,음식점,언덕위의집,음식점 > 한식,울산 울주군 상북면 석남로 510,052-256-0778,657,9,35.614444294286194,129.04207204281053,http://place.map.kakao.com/24982948,1,51.0
백운산(광양),음식점,유샤브샤브,음식점 > 샤브샤브,경남 하동군 하동읍 향교1길 48-1,055-884-3778,2894,39,35.0704563763259,127.745371708817,http://place.map.kakao.com/592270870,198,51.0
관악산,음식점,락구정,음식점 > 한식 > 한정식,서울 관악구 관악로 1,02-875-8840,1659,22,37.454811018100486,126.95054403339074,http://place.map.kakao.com/23345881,7,51.0
광교산,음식점,다모아,음식점 > 술집,경기 수원시 장안구 팔달로279번길 4,,165,2,37.290109311260814,127.01514226129332,http://place.map.kakao.com/1264205110,19,51.0
월출산,음식점,녹향월촌한우체험관,"음식점 > 한식 > 육류,고기",전남 강진군 성전면 백운로 95-5,061-433-3118,2936,39,34.7414643510106,126.708905777605,http://place.map.kakao.com/1955707356,39,51.0
신불산,음식점,봉오리,"음식점 > 한식 > 육류,고기 > 오리",울산 울주군 상북면 등억알프스로 404,052-254-9252,2440,33,35.5570642602976,129.074787484285,http://place.map.kakao.com/897339636,39,51.0
삼봉산,음식점,화계반점,음식점 > 중식 > 중국요리,경남 산청군 금서면 동의보감로 1063,055-973-4848,1787,24,35.4632388441536,127.793203460735,http://place.map.kakao.com/19857620,7,51.0
영인산,음식점,두레촌칼국수전문점,음식점 > 한식 > 국수 > 칼국수,충남 아산시 음봉면 음봉면로 259,041-541-8588,1764,24,36.8655238592965,127.026179742163,http://place.map.kakao.com/10285256,7,51.0
남해 금산,카페,앵강연화,음식점 > 카페,경남 남해군 이동면 성남로78번안길 7,,1387,18,34.782315038221,127.954061779454,http://place.map.kakao.com/637829413,193,50.9
추월산,음식점,엄마손맛집,"음식점 > 한식 > 찌개,전골",전남 담양군 창평면 의병로 139-1,010-2361-5627,2057,27,35.2383671032766,127.015725756561,http://place.map.kakao.com/586156326,38,50.9
청계산,카페,투썸플레이스 서판교운중타운점,음식점 > 카페 > 커피전문점 > 투썸플레이스,경기 성남시 분당구 하오개로344번길 4,031-8039-7970,2723,36,37.3910526208899,127.056754224116,http://place.map.kakao.com/1389071838,38,50.9
도봉산,카페,디어맘카페,음식점 > 카페 > 커피전문점,서울 도봉구 마들로 895,0503-7150-6033,2699,36,37.68795847984882,127.04810362903537,http://place.map.kakao.com/1338584242,38,50.9
백운산(광양),음식점,오리도니 경남하동점,"음식점 > 한식 > 육류,고기 > 오리",경남 하동군 하동읍 섬진강대로 2222,055-883-5282,2476,33,35.07239762592192,127.74114751590332,http://place.map.kakao.com/1870048864,37,50.8
주왕산,음식점,상의식당민박,음식점 > 한식,경북 청송군 주왕산면 공원길 81,054-873-3345,1233,16,36.3879478195285,129.135451530574,http://place.map.kakao.com/21504719,5,50.8
천마산(전남),음식점,해룡식당,음식점 > 한식,전남 순천시 해룡면 월전길 14,,1019,14,34.9144037933084,127.538464238397,http://place.map.kakao.com/16205697,189,50.8
백운산(광양),카페,하늘채,음식점 > 카페,경남 하동군 하동읍 섬진강대로 2184,055-883-5757,2768,37,35.06901963059134,127.74110601279908,http://place.map.kakao.com/13295089,188,50.8
신불산,음식점,산다화 2호점,"음식점 > 한식 > 육류,고기 > 닭요리",울산 울주군 상북면 오리밭들길 13,052-258-3306,2609,35,35.557752349896,129.076482480077,http://place.map.kakao.com/1147969437,37,50.8
천마산(전남),카페,순정 베이커리카페,음식점 > 카페,전남 순천시 백강로 45,0507-1438-6026,1955,26,34.937235129817246,127.52166930627325,http://place.map.kakao.com/1151821573,37,50.8
영축산,카페,커피휘게,음식점 > 카페 > 커피전문점,경남 양산시 하북면 통도9길 8,055-383-8832,2690,36,35.4943742159826,129.081882933902,http://place.map.kakao.com/1133939640,37,50.8
가평 강씨봉,카페,옐로망고,음식점 > 카페 > 생과일전문점,경기 가평군 가평읍 장터2길 12,031-581-7997,2853,38,37.8297175965659,127.515208285806,http://place.map.kakao.com/327404125,37,50.8
안성 칠현산,음식점,단골칼국수,음식점 > 한식 > 국수 > 칼국수,경기 안성시 삼죽면 서동대로 6325-16,,2594,35,37.057485219456495,127.36536150090359,http://place.map.kakao.com/856182139,1199,50.8
간월산,카페,야옹보드카페,"가정,생활 > 여가시설 > 보드카페",울산 울주군 언양읍 웃방천5길 14,,2423,32,35.5689437254418,129.110425767585,http://place.map.kakao.com/399206477,1213,50.8
금원산,음식점,최가짬뽕,음식점 > 중식 > 중국요리,경남 함양군 안의면 종로길 11-14,055-962-3530,2804,37,35.6282505061795,127.813453008485,http://place.map.kakao.com/423152763,36,50.7
거제 가라산,카페,동원다방,음식점 > 카페 > 다방,경남 거제시 동부면 거제남서로 3085-1,,1515,20,34.82364786426382,128.60698146268814,http://place.map.kakao.com/1837872501,233,50.7
